Time,X Pos of Ball 1,Y Pos of Ball 1,X Velocity of Ball 1,Y Velocity of Ball 1,Final Velocity of Ball 1,Angle of Velocity of Ball 1,Ax of Ball 1,Ay of Ball 1,Afinal of Ball 1,Angle of A Ball 1,Force on Ball 1,Angle of Force,X Pos of Ball 2,Y Pos of Ball 2,X Velocity of Ball 2,Y Velocity of Ball 2,Final Velocity of Ball 2,Angle of Velocity of Ball 2,Ax of Ball 2,Ay of Ball 2,Afinal of Ball 2,Angle of A Ball 2,Force on Ball 2,Angle of Force
0.63,2.11732528547872,0,4.91161005796791,0,4.91161005796791,0,-0.0823573394467961,0,0.0823573394467961,0,0.411786697233981,0,2.92267471452127,0,3.08838994203209,0,3.08838994203209,0,0.0823573394467961,0,0.0823573394467961,0,0.411786697233981,0
0.64,2.16642930581697,0,4.91080470853886,0,4.91080470853886,0,-0.0805349429042548,0,0.0805349429042548,0,0.402674714521274,0,2.95357069418303,0,3.08919529146113,0,3.08919529146113,0,0.0805349429042548,0,0.0805349429042548,0,0.402674714521274,0
0.65,2.21552554578153,0,4.9100175671505,0,4.9100175671505,0,-0.078714138836606,0,0.078714138836606,0,0.39357069418303,0,2.98447445421846,0,3.0899824328495,0,3.0899824328495,0,0.078714138836606,0,0.078714138836606,0,0.39357069418303,0
0.66,2.26461418721941,0,4.90924861824206,0,4.90924861824206,0,-0.0768948908436934,0,0.0768948908436934,0,0.384474454218467,0,3.01538581278059,0,3.09075138175794,0,3.09075138175794,0,0.0768948908436934,0,0.0768948908436934,0,0.384474454218467,0
0.67,2.31369541182745,0,4.9084978466165,0,4.9084978466165,0,-0.0750771625561177,0,0.0750771625561177,0,0.375385812780589,0,3.04630458817255,0,3.0915021533835,0,3.0915021533835,0,0.0750771625561177,0,0.0750771625561177,0,0.375385812780588,0
0.68,2.36276940115597,0,4.90776523744016,0,4.90776523744016,0,-0.0732609176345102,0,0.0732609176345102,0,0.366304588172552,0,3.07723059884403,0,3.09223476255984,0,3.09223476255984,0,0.0732609176345103,0,0.0732609176345103,0,0.366304588172551,0
0.69,2.4118363366124,0,4.90705077624247,0,4.90705077624247,0,-0.0714461197688062,0,0.0714461197688062,0,0.357230598844032,0,3.10816366338759,0,3.09294922375753,0,3.09294922375753,0,0.0714461197688063,0,0.0714461197688063,0,0.357230598844031,0
0.7,2.46089639946493,0,4.90635444891569,0,4.90635444891569,0,-0.069632732677519,0,0.069632732677519,0,0.348163663387595,0,3.13910360053507,0,3.09364555108431,0,3.09364555108431,0,0.069632732677519,0,0.069632732677519,0,0.348163663387595,0
0.71,2.50994977084607,0,4.90567624171462,0,4.90567624171462,0,-0.0678207201070144,0,0.0678207201070144,0,0.339103600535072,0,3.17005022915393,0,3.09432375828538,0,3.09432375828538,0,0.0678207201070143,0,0.0678207201070143,0,0.339103600535072,0
0.72,2.55899663175634,0,4.90501614125631,0,4.90501614125631,0,-0.0660100458307862,0,0.0660100458307862,0,0.330050229153931,0,3.20100336824366,0,3.09498385874368,0,3.09498385874368,0,0.0660100458307862,0,0.0660100458307862,0,0.330050229153931,0
0.73,2.60803716306785,0,4.90437413451983,0,4.90437413451983,0,-0.0642006736487319,0,0.0642006736487319,0,0.321003368243659,0,3.23196283693214,0,3.09562586548017,0,3.09562586548017,0,0.0642006736487319,0,0.0642006736487319,0,0.321003368243659,0
0.74,2.65707154552794,0,4.90375020884596,0,4.90375020884596,0,-0.0623925673864287,0,0.0623925673864287,0,0.311962836932143,0,3.26292845447205,0,3.09624979115404,0,3.09624979115404,0,0.0623925673864287,0,0.0623925673864287,0,0.311962836932143,0
0.75,2.70609995976277,0,4.90314435193702,0,4.90314435193702,0,-0.0605856908944106,0,0.0605856908944106,0,0.302928454472053,0,3.29390004023722,0,3.09685564806298,0,3.09685564806298,0,0.0605856908944107,0,0.0605856908944107,0,0.302928454472053,0
0.76,2.75512258628093,0,4.90255655185654,0,4.90255655185654,0,-0.0587800080474454,0,0.0587800080474454,0,0.293900040237228,0,3.32487741371906,0,3.09744344814345,0,3.09744344814345,0,0.0587800080474455,0,0.0587800080474455,0,0.293900040237227,0
0.77,2.80413960547709,0,4.90198679702911,0,4.90198679702911,0,-0.0569754827438127,0,0.0569754827438127,0,0.284877413719064,0,3.35586039452291,0,3.09801320297089,0,3.09801320297089,0,0.0569754827438128,0,0.0569754827438128,0,0.284877413719064,0
0.78,2.85315119763554,0,4.90143507624006,0,4.90143507624006,0,-0.0551720789045819,0,0.0551720789045819,0,0.27586039452291,0,3.38684880236445,0,3.09856492375994,0,3.09856492375994,0,0.055172078904582,0,0.055172078904582,0,0.27586039452291,0
0.79,2.90215754293387,0,4.90090137863533,0,4.90090137863533,0,-0.0533697604728909,0,0.0533697604728909,0,0.266848802364455,0,3.41784245706612,0,3.09909862136467,0,3.09909862136467,0,0.053369760472891,0,0.053369760472891,0,0.266848802364454,0
0.8,2.95115882144651,0,4.9003856937212,0,4.9003856937212,0,-0.0515684914132249,0,0.0515684914132249,0,0.257842457066125,0,3.44884117855348,0,3.0996143062788,0,3.0996143062788,0,0.051568491413225,0,0.051568491413225,0,0.257842457066125,0
0.81,3.00015521314837,0,4.89988801136409,0,4.89988801136409,0,-0.0497682357106966,0,0.0497682357106966,0,0.248841178553484,0,3.47984478685163,0,3.10011198863591,0,3.10011198863591,0,0.0497682357106967,0,0.0497682357106967,0,0.248841178553483,0
0.82,3.0491468979184,0,4.89940832179039,0,4.89940832179039,0,-0.0479689573703256,0,0.0479689573703256,0,0.239844786851628,0,3.51085310208159,0,3.10059167820961,0,3.10059167820961,0,0.0479689573703256,0,0.0479689573703256,0,0.239844786851628,0
0.83,3.09813405554325,0,4.89894661558623,0,4.89894661558623,0,-0.0461706204163185,0,0.0461706204163185,0,0.230853102081592,0,3.54186594445675,0,3.10105338441377,0,3.10105338441377,0,0.0461706204163185,0,0.0461706204163185,0,0.230853102081593,0
0.84,3.14711686572077,0,4.89850288369731,0,4.89850288369731,0,-0.0443731888913502,0,0.0443731888913502,0,0.221865944456751,0,3.57288313427922,0,3.10149711630269,0,3.10149711630269,0,0.0443731888913502,0,0.0443731888913502,0,0.221865944456751,0
0.85,3.19609550806372,0,4.89807711742875,0,4.89807711742875,0,-0.0425766268558445,0,0.0425766268558445,0,0.212883134279223,0,3.60390449193627,0,3.10192288257125,0,3.10192288257125,0,0.0425766268558445,0,0.0425766268558445,0,0.212883134279223,0
0.86,3.24507016210325,0,4.89766930844488,0,4.89766930844488,0,-0.0407808983872555,0,0.0407808983872555,0,0.203904491936278,0,3.63492983789675,0,3.10233069155512,0,3.10233069155512,0,0.0407808983872556,0,0.0407808983872556,0,0.203904491936278,0
0.87,3.29404100729256,0,4.89727944876909,0,4.89727944876909,0,-0.0389859675793497,0,0.0389859675793497,0,0.194929837896749,0,3.66595899270743,0,3.10272055123091,0,3.10272055123091,0,0.0389859675793497,0,0.0389859675793497,0,0.194929837896749,0
0.88,3.34300822301047,0,4.89690753078367,0,4.89690753078367,0,-0.0371917985414874,0,0.0371917985414874,0,0.185958992707437,0,3.69699177698952,0,3.10309246921633,0,3.10309246921633,0,0.0371917985414874,0,0.0371917985414874,0,0.185958992707437,0
0.89,3.391971988565,0,4.89655354722969,0,4.89655354722969,0,-0.0353983553979054,0,0.0353983553979054,0,0.176991776989527,0,3.728028011435,0,3.1034464527703,0,3.1034464527703,0,0.0353983553979054,0,0.0353983553979054,0,0.176991776989527,0
0.9,3.44093248319695,0,4.89621749120682,0,4.89621749120682,0,-0.0336056022869999,0,0.0336056022869999,0,0.168028011435,0,3.75906751680304,0,3.10378250879317,0,3.10378250879317,0,0.0336056022869999,0,0.0336056022869999,0,0.168028011435,0
0.91,3.48988988608352,0,4.89589935617322,0,4.89589935617322,0,-0.0318135033606091,0,0.0318135033606091,0,0.159067516803046,0,3.79011011391648,0,3.10410064382678,0,3.10410064382678,0,0.0318135033606091,0,0.0318135033606091,0,0.159067516803046,0
0.92,3.53884437634183,0,4.89559913594538,0,4.89559913594538,0,-0.0300220227832963,0,0.0300220227832963,0,0.150110113916481,0,3.82115562365816,0,3.10440086405461,0,3.10440086405461,0,0.0300220227832963,0,0.0300220227832963,0,0.150110113916481,0
0.93,3.58779613303257,0,4.89531682469807,0,4.89531682469807,0,-0.0282311247316333,0,0.0282311247316333,0,0.141155623658166,0,3.85220386696742,0,3.10468317530193,0,3.10468317530193,0,0.0282311247316333,0,0.0282311247316333,0,0.141155623658166,0
